epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.572,2.13523,3.46117,1.88796,0.00065,0.10666,0.00345,0.00124,2.99644,4.9343,3.21708,0.00026,0.00026,0.07426
2,297.857,2.01603,2.89771,1.80528,0.00714,0.25821,0.02454,0.00778,2.57101,4.47934,2.64563,0.000529871,0.000529871,0.0475299
3,459.713,1.95957,2.61375,1.74733,0.66787,0.03145,0.03338,0.01027,2.60799,4.27095,2.74141,0.000799219,0.000799219,0.0207992
4,603.47,1.94532,2.5653,1.75527,0.14752,0.06013,0.02288,0.00861,2.69101,4.38074,2.72106,0.000997803,0.000997803,0.000997803
5,752.614,1.94305,2.5032,1.76802,0.041,0.09653,0.04689,0.02113,2.55231,3.99817,2.44914,0.000996097,0.000996097,0.000996097
6,902.688,1.92995,2.47159,1.71438,0.19641,0.12246,0.06094,0.02114,2.48242,3.59656,2.37023,0.000993906,0.000993906,0.000993906
7,1048.33,1.89052,2.37519,1.74666,0.24787,0.13304,0.07311,0.02641,2.38124,3.56148,2.32753,0.000991232,0.000991232,0.000991232
8,1196.3,1.89065,2.29107,1.6986,0.37731,0.15505,0.10181,0.03468,2.41347,4.17432,2.33628,0.000988079,0.000988079,0.000988079
9,1335.72,1.87349,2.293,1.70241,0.51798,0.13567,0.08979,0.03478,2.37808,3.72178,2.27105,0.000984449,0.000984449,0.000984449
10,1490.39,1.8332,2.25337,1.69374,0.38577,0.18904,0.11025,0.04656,2.46011,3.63651,2.37937,0.000980345,0.000980345,0.000980345
11,1626.47,1.85281,2.24651,1.68578,0.28249,0.20843,0.09491,0.03715,2.29018,3.77243,2.25368,0.000975773,0.000975773,0.000975773
12,1763.14,1.8304,2.23594,1.69202,0.34476,0.14861,0.12149,0.0571,2.30057,3.3318,2.18963,0.000970736,0.000970736,0.000970736
13,1897.58,1.84235,2.20597,1.704,0.2532,0.11493,0.09238,0.042,2.30243,3.52069,2.14198,0.000965239,0.000965239,0.000965239
14,2040.11,1.7706,2.17582,1.64713,0.26914,0.15752,0.08731,0.03288,2.26578,3.7469,2.20231,0.000959289,0.000959289,0.000959289
15,2178.22,1.74472,2.15104,1.66122,0.52569,0.14588,0.11863,0.0484,2.44065,3.80104,2.41739,0.000952889,0.000952889,0.000952889
16,2316.41,1.78892,2.10427,1.62109,0.23211,0.18323,0.13069,0.05429,2.38244,3.43991,2.23804,0.000946048,0.000946048,0.000946048
17,2452.18,1.74501,2.06366,1.64474,0.14841,0.19212,0.11655,0.04656,2.37607,3.13023,2.24945,0.000938772,0.000938772,0.000938772
18,2588.39,1.67627,1.97498,1.59923,0.19372,0.24168,0.1748,0.07241,2.22905,2.94435,2.06815,0.000931067,0.000931067,0.000931067
19,2724.63,1.72177,1.98098,1.58863,0.43204,0.23235,0.20567,0.09427,2.2535,2.90449,2.05881,0.000922942,0.000922942,0.000922942
20,2860.43,1.67719,1.94095,1.57574,0.30022,0.21439,0.16052,0.07382,2.33097,3.25326,2.16714,0.000914405,0.000914405,0.000914405
21,2996.11,1.70693,1.98907,1.60283,0.38791,0.25082,0.17024,0.07284,2.25789,3.15752,2.05423,0.000905463,0.000905463,0.000905463
22,3131.66,1.7001,1.89709,1.56222,0.29873,0.19279,0.1871,0.08389,2.15953,2.98796,2.03627,0.000896127,0.000896127,0.000896127
23,3267.39,1.67984,1.88317,1.5576,0.20834,0.19726,0.16162,0.0753,2.2303,3.01808,2.03502,0.000886404,0.000886404,0.000886404
24,3403.23,1.63428,1.88444,1.55029,0.32755,0.21149,0.16663,0.07287,2.27226,3.15731,2.1486,0.000876305,0.000876305,0.000876305
25,3543.61,1.67272,1.85809,1.56069,0.43908,0.24536,0.16239,0.0753,2.25679,3.37335,2.14589,0.000865839,0.000865839,0.000865839
26,3680.17,1.61973,1.74341,1.53975,0.33884,0.16152,0.14238,0.07046,2.26681,3.15204,2.16881,0.000855018,0.000855018,0.000855018
27,3815.8,1.62259,1.78291,1.52592,0.51974,0.15733,0.17173,0.07705,2.19186,2.92868,2.05996,0.000843851,0.000843851,0.000843851
28,3951.87,1.61453,1.83287,1.51976,0.39162,0.2268,0.20216,0.09095,2.22153,2.95448,2.02886,0.000832349,0.000832349,0.000832349
29,4089.1,1.62261,1.82957,1.54257,0.20362,0.26171,0.1821,0.08553,2.28289,3.06033,2.1121,0.000820525,0.000820525,0.000820525
30,4226.49,1.59731,1.80097,1.54189,0.3374,0.24487,0.16772,0.07615,2.22109,3.08761,2.06478,0.000808389,0.000808389,0.000808389
31,4362.59,1.56211,1.78672,1.48355,0.30348,0.2469,0.19668,0.09445,2.24011,2.81021,2.06002,0.000795954,0.000795954,0.000795954
32,4498.64,1.57551,1.71767,1.51619,0.25392,0.24457,0.18931,0.09225,2.29354,3.29158,2.19209,0.000783231,0.000783231,0.000783231
33,4634.39,1.64878,1.85264,1.55369,0.30501,0.2421,0.21293,0.10664,2.16814,2.86797,2.03172,0.000770234,0.000770234,0.000770234
34,136.416,1.62395,1.82144,1.51918,0.3071,0.28188,0.20044,0.09602,2.22136,3.05825,2.09021,0.000756976,0.000756976,0.000756976
35,280.998,1.55527,1.71939,1.49837,0.29446,0.25947,0.21169,0.10328,2.22406,2.96579,2.11098,0.000743468,0.000743468,0.000743468
36,438.345,1.52333,1.63792,1.45125,0.51432,0.25667,0.24934,0.1295,2.13797,2.72292,2.03857,0.000729725,0.000729725,0.000729725
37,584.076,1.52848,1.68977,1.43511,0.31686,0.28365,0.24894,0.12417,2.15829,2.74949,2.02459,0.000715761,0.000715761,0.000715761
38,747.459,1.57417,1.6713,1.49148,0.27776,0.2869,0.23108,0.11156,2.17741,2.74506,2.04158,0.000701588,0.000701588,0.000701588
39,923.051,1.54877,1.68129,1.44646,0.24813,0.31977,0.21421,0.10718,2.1865,2.70636,2.03086,0.000687222,0.000687222,0.000687222
40,1075.33,1.51991,1.66364,1.46958,0.3059,0.25938,0.20756,0.10035,2.23314,2.93223,2.11312,0.000672675,0.000672675,0.000672675
41,1231.56,1.54209,1.64066,1.45048,0.36255,0.27926,0.20762,0.10219,2.15118,2.88818,2.09372,0.000657963,0.000657963,0.000657963
42,1396.76,1.51031,1.65285,1.45152,0.29597,0.2307,0.21844,0.10252,2.18807,2.96638,2.10508,0.000643101,0.000643101,0.000643101
43,1538.84,1.4862,1.61381,1.43375,0.30389,0.25701,0.23976,0.1109,2.14111,2.88454,2.06732,0.000628101,0.000628101,0.000628101
44,1713.01,1.55185,1.66004,1.44436,0.33134,0.24882,0.2188,0.10663,2.11268,2.9451,2.0569,0.000612981,0.000612981,0.000612981
45,1869.6,1.5152,1.63629,1.4358,0.27066,0.26171,0.1819,0.08508,2.11532,3.15849,2.08384,0.000597754,0.000597754,0.000597754
46,2042.04,1.50724,1.64167,1.45175,0.45049,0.28042,0.24631,0.12516,2.07641,2.80788,1.95819,0.000582435,0.000582435,0.000582435
47,2216.75,1.45011,1.60482,1.41611,0.36271,0.30578,0.24936,0.12998,2.09009,2.87671,1.9879,0.00056704,0.00056704,0.00056704
48,2382.1,1.44245,1.60811,1.43519,0.44404,0.26938,0.23246,0.11204,2.1676,2.86962,2.11897,0.000551584,0.000551584,0.000551584
49,2539.17,1.48617,1.57389,1.41318,0.33285,0.31932,0.24761,0.11505,2.13785,2.7349,2.0457,0.000536081,0.000536081,0.000536081
50,2672.04,1.47455,1.578,1.41416,0.32591,0.32015,0.2686,0.13474,2.15837,2.60522,2.00991,0.000520548,0.000520548,0.000520548
51,2803.01,1.40233,1.49178,1.38426,0.32872,0.27938,0.25931,0.13397,2.18706,2.66358,2.0673,0.000505,0.000505,0.000505
52,2933.81,1.43408,1.5014,1.37858,0.33256,0.32016,0.27245,0.14385,2.1586,2.62436,2.04237,0.000489452,0.000489452,0.000489452
53,3066.4,1.4357,1.50091,1.39827,0.47506,0.29383,0.27375,0.13811,2.20248,2.62636,2.05406,0.000473919,0.000473919,0.000473919
54,3201.07,1.44746,1.53299,1.39178,0.32536,0.30473,0.26744,0.13021,2.18021,2.73631,2.02865,0.000458416,0.000458416,0.000458416
55,3335.79,1.40434,1.42722,1.35155,0.29145,0.34238,0.25746,0.13217,2.1403,2.66179,2.00883,0.00044296,0.00044296,0.00044296
56,3472.67,1.40919,1.4643,1.36477,0.34847,0.2655,0.24784,0.13146,2.09817,2.73797,2.03017,0.000427565,0.000427565,0.000427565
57,3618.34,1.37255,1.45598,1.36131,0.38745,0.28573,0.25909,0.13305,2.07184,2.62967,2.03542,0.000412246,0.000412246,0.000412246
58,3760.76,1.43129,1.45423,1.37725,0.33937,0.30176,0.24785,0.12306,2.04841,2.72466,2.00487,0.000397019,0.000397019,0.000397019
59,3892.86,1.34294,1.36093,1.34204,0.31103,0.34212,0.25357,0.12899,2.04108,2.73618,1.97309,0.000381899,0.000381899,0.000381899
60,4027.22,1.3774,1.38234,1.34345,0.33927,0.31976,0.27953,0.14262,2.07048,2.65186,1.95537,0.000366899,0.000366899,0.000366899
61,4161.63,1.34554,1.40013,1.32864,0.41348,0.34615,0.3065,0.15554,2.11129,2.6065,1.99031,0.000352037,0.000352037,0.000352037
62,4292.88,1.34179,1.38253,1.36532,0.37006,0.2876,0.28868,0.14108,2.17395,2.57925,2.03583,0.000337325,0.000337325,0.000337325
63,4426.44,1.35498,1.38854,1.35949,0.30008,0.2896,0.25301,0.13134,2.13964,2.64899,2.0377,0.000322778,0.000322778,0.000322778
64,4561.49,1.32719,1.37788,1.31858,0.33116,0.28082,0.26457,0.13523,2.09227,2.69603,1.99399,0.000308412,0.000308412,0.000308412
65,4699.56,1.33852,1.30881,1.34466,0.36445,0.29716,0.2785,0.14128,2.11681,2.78926,1.98623,0.000294239,0.000294239,0.000294239
66,4834.77,1.40895,1.42989,1.38318,0.35635,0.29385,0.27558,0.14917,2.13909,2.75963,2.00365,0.000280275,0.000280275,0.000280275
67,4970.47,1.36628,1.37242,1.34593,0.40103,0.28043,0.29327,0.15405,2.13036,2.59411,1.99043,0.000266532,0.000266532,0.000266532
68,5103.57,1.36637,1.38638,1.33784,0.37794,0.32526,0.29169,0.14831,2.13274,2.54831,1.9929,0.000253024,0.000253024,0.000253024
69,5235.51,1.35982,1.34579,1.33503,0.42246,0.32357,0.29634,0.14832,2.13478,2.53543,2.00637,0.000239766,0.000239766,0.000239766
70,5370.1,1.37249,1.36686,1.35269,0.39576,0.31382,0.30097,0.15833,2.11836,2.58228,2.0287,0.000226769,0.000226769,0.000226769
71,5504.06,1.34637,1.35729,1.32592,0.34846,0.35438,0.29215,0.15114,2.15772,2.59298,2.03752,0.000214046,0.000214046,0.000214046
72,5638.38,1.30042,1.34062,1.32908,0.33823,0.35091,0.30027,0.15305,2.15084,2.63398,2.00942,0.000201611,0.000201611,0.000201611
73,5772.89,1.33877,1.36407,1.32961,0.39663,0.33013,0.29673,0.15211,2.10994,2.62424,1.97612,0.000189475,0.000189475,0.000189475
74,5906.92,1.32997,1.30732,1.32376,0.36654,0.35314,0.28647,0.14596,2.11078,2.59458,1.9862,0.000177651,0.000177651,0.000177651
75,6039.61,1.37045,1.36228,1.34713,0.40321,0.3188,0.28416,0.14694,2.12899,2.58617,2.00495,0.000166149,0.000166149,0.000166149
76,6172.86,1.31594,1.33527,1.32702,0.35752,0.31026,0.2799,0.15459,2.1046,2.57292,1.99438,0.000154982,0.000154982,0.000154982
77,6307.19,1.31612,1.29197,1.31269,0.35912,0.32576,0.27993,0.1514,2.11678,2.49266,1.99061,0.000144161,0.000144161,0.000144161
78,6444.6,1.29823,1.3103,1.31681,0.33988,0.32391,0.28206,0.15358,2.11947,2.53493,1.98705,0.000133695,0.000133695,0.000133695
79,6581.94,1.28484,1.32321,1.33039,0.35311,0.3127,0.26573,0.14303,2.11225,2.60145,1.9884,0.000123596,0.000123596,0.000123596
80,6719.95,1.34226,1.34903,1.33378,0.3463,0.33001,0.27463,0.1451,2.09904,2.56259,1.99035,0.000113873,0.000113873,0.000113873
81,6856.71,1.32811,1.34838,1.32034,0.3444,0.34567,0.28395,0.14764,2.08808,2.49934,1.98054,0.000104537,0.000104537,0.000104537
